t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-02-28T18:03:32,0.039,1300.000,145,20.000000,0.401252169,0.000,0.000000
2026-02-28T18:03:34,2.048,1300.000,2562,1202.621945,0.401252169,2.000,0.000000
2026-02-28T18:03:36,4.054,1300.000,5109,1270.091381,0.469183370,3.000,0.000000
2026-02-28T18:03:38,6.060,1300.000,7700,1291.606830,0.469183370,3.000,0.000000
2026-02-28T18:03:40,8.070,1300.000,10266,1276.541212,0.469183370,5.000,0.000000
2026-02-28T18:03:42,10.079,1300.000,12802,1262.274133,0.469183370,6.000,0.000000
2026-02-28T18:03:44,12.099,1300.000,15407,1289.530763,0.469183370,7.000,0.000000
2026-02-28T18:03:46,14.104,1300.000,18003,1294.712521,0.472182908,3.000,0.000000
2026-02-28T18:03:48,16.110,1300.000,20590,1289.999661,0.472182908,3.000,0.000000
2026-02-28T18:03:50,18.123,1300.000,23136,1264.508000,0.472182908,7.000,0.000000
2026-02-28T18:03:52,20.134,1300.000,25705,1277.715257,0.472182908,9.000,0.000000
2026-02-28T18:03:52,0.053,1820.000,26244,1291.000000,0.472182908,16.000,0.000000
2026-02-28T18:03:54,2.061,1820.000,29616,1679.447865,0.472182908,8.000,0.000000
2026-02-28T18:03:56,4.069,1820.000,33153,1760.712748,0.472182908,4.000,0.000000
2026-02-28T18:03:58,6.086,1820.000,36536,1677.647413,0.472182908,4.000,0.000000
2026-02-28T18:04:00,8.097,1820.000,39405,1426.895376,0.472182908,16.000,0.000000
2026-02-28T18:04:03,10.104,1820.000,42644,1613.368758,0.472182908,6.000,0.000000
2026-02-28T18:04:05,12.119,1820.000,45973,1652.068045,0.472182908,11.000,0.000000
2026-02-28T18:04:07,14.126,1820.000,49551,1783.113686,0.472182908,3.000,0.000000
2026-02-28T18:04:09,16.132,1820.000,53173,1805.543727,0.472182908,4.000,0.000000
2026-02-28T18:04:11,18.138,1820.000,56791,1803.192499,0.472182908,5.000,0.000000
2026-02-28T18:04:13,20.144,1820.000,60403,1801.020929,0.510345883,11.000,0.000000
2026-02-28T18:04:13,0.049,2548.000,61187,1789.000000,0.510345883,5.000,0.000000
2026-02-28T18:04:15,2.054,2548.000,65773,2287.433715,0.510345883,5.000,0.000000
2026-02-28T18:04:17,4.068,2548.000,70353,2274.995825,0.510345883,15.000,0.000000
2026-02-28T18:04:19,6.077,2548.000,75094,2359.113630,0.510345883,6.000,0.000000
2026-02-28T18:04:21,8.089,2548.000,79695,2287.799379,0.510345883,12.000,0.000000
2026-02-28T18:04:23,10.094,2548.000,84323,2307.836586,0.510345883,8.000,0.000000
2026-02-28T18:04:25,12.102,2548.000,88997,2327.512218,0.510345883,7.000,0.000000
2026-02-28T18:04:27,14.110,2548.000,93900,2441.790018,0.510345883,16.000,0.000000
2026-02-28T18:04:29,16.119,2548.000,98752,2415.167372,0.510345883,6.000,0.000000
2026-02-28T18:04:31,18.126,2548.000,103259,2245.146082,0.510345883,6.000,0.000000
2026-02-28T18:04:33,20.134,2548.000,107815,2269.363086,0.510345883,9.000,0.000000
