t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-02-28T18:50:23,0.039,2550.000,2142119,1803.000000,0.495090457,10.000,0.000000
2026-02-28T18:50:25,2.046,2550.000,2147038,2450.588777,0.495090457,10.000,0.000000
2026-02-28T18:50:27,4.062,2550.000,2151982,2452.970388,0.495090457,16.000,0.000000
2026-02-28T18:50:29,6.069,2550.000,2156586,2293.275359,0.495090457,11.000,0.000000
2026-02-28T18:50:31,8.079,2550.000,2161281,2335.723937,0.495090457,10.000,0.000000
2026-02-28T18:50:33,10.090,2550.000,2166229,2461.460898,0.495090457,12.000,0.000000
2026-02-28T18:50:35,12.098,2550.000,2171084,2417.367848,0.495090457,3.000,0.000000
2026-02-28T18:50:37,14.109,2550.000,2175924,2406.471892,0.495090457,9.000,0.000000
2026-02-28T18:50:39,16.117,2550.000,2180823,2440.288202,0.495090457,5.000,0.000000
2026-02-28T18:50:41,18.126,2550.000,2185733,2443.820071,0.495090457,4.000,0.000000
2026-02-28T18:50:43,20.142,2550.000,2190084,2157.945710,0.495090457,14.000,0.000000
2026-02-28T18:50:45,22.154,2550.000,2194338,2114.759084,0.495090457,7.000,0.000000
2026-02-28T18:50:47,24.161,2550.000,2198891,2268.319445,0.495090457,16.000,0.000000
2026-02-28T18:50:49,26.171,2550.000,2203485,2286.110422,0.495090457,16.000,0.000000
2026-02-28T18:50:51,28.178,2550.000,2208306,2401.785141,0.495090457,4.000,0.000000
2026-02-28T18:50:53,30.185,2550.000,2213222,2448.721920,0.495090457,6.000,0.000000
2026-02-28T18:50:55,32.192,2550.000,2218131,2446.212408,0.495090457,15.000,0.000000
2026-02-28T18:50:57,34.199,2550.000,2223011,2432.009566,0.495090457,5.000,0.000000
2026-02-28T18:50:59,36.207,2550.000,2227936,2452.774116,0.495090457,10.000,0.000000
2026-02-28T18:51:01,38.213,2550.000,2232625,2336.595482,0.495090457,7.000,0.000000
2026-02-28T18:51:03,40.221,2550.000,2237519,2437.832346,0.495090457,7.000,0.000000
2026-02-28T18:51:05,42.228,2550.000,2242502,2482.562476,0.495090457,4.000,0.000000
2026-02-28T18:51:07,44.236,2550.000,2247578,2528.244300,0.495090457,4.000,0.000000
2026-02-28T18:51:09,46.244,2550.000,2252581,2491.971307,0.495090457,12.000,0.000000
2026-02-28T18:51:11,48.250,2550.000,2257649,2525.411574,0.495090457,5.000,0.000000
2026-02-28T18:51:13,50.256,2550.000,2262686,2511.205817,0.485564914,11.000,0.000000
2026-02-28T18:51:15,52.263,2550.000,2267665,2481.365155,0.485564914,4.000,0.000000
2026-02-28T18:51:17,54.272,2550.000,2272642,2477.029656,0.485564914,16.000,0.000000
2026-02-28T18:51:19,56.283,2550.000,2277568,2449.875658,0.485564914,16.000,0.000000
2026-02-28T18:51:21,58.289,2550.000,2282595,2505.238806,0.485564914,5.000,0.000000
2026-02-28T18:51:23,60.295,2550.000,2287640,2515.078538,0.485564914,10.000,0.000000
2026-02-28T18:51:25,62.304,2550.000,2292685,2511.917950,0.485564914,9.000,0.000000
2026-02-28T18:51:27,64.312,2550.000,2297653,2473.663149,0.485564914,5.000,0.000000
2026-02-28T18:51:29,66.319,2550.000,2302704,2517.034878,0.485564914,8.000,0.000000
2026-02-28T18:51:31,68.328,2550.000,2307725,2499.581660,0.485564914,10.000,0.000000
2026-02-28T18:51:33,70.337,2550.000,2312760,2505.219104,0.485564914,8.000,0.000000
2026-02-28T18:51:35,72.342,2550.000,2317746,2486.564391,0.485564914,5.000,0.000000
2026-02-28T18:51:37,74.352,2550.000,2322780,2504.712035,0.485564914,7.000,0.000000
2026-02-28T18:51:39,76.363,2550.000,2327078,2137.838833,0.485564914,8.000,0.000000
2026-02-28T18:51:41,78.378,2550.000,2331843,2364.813951,0.485564914,16.000,0.000000
2026-02-28T18:51:43,80.392,2550.000,2335050,1592.196000,0.485564914,16.000,0.000000
2026-02-28T18:51:45,82.403,2550.000,2338285,1608.922197,0.485564914,6.000,0.000000
2026-02-28T18:51:47,84.410,2550.000,2343304,2499.990117,0.485564914,8.000,0.000000
2026-02-28T18:51:49,86.418,2550.000,2348191,2434.557972,0.485564914,9.000,0.000000
2026-02-28T18:51:51,88.426,2550.000,2353053,2420.986592,0.485564914,16.000,0.000000
2026-02-28T18:51:53,90.434,2550.000,2358033,2480.306866,0.482718008,7.000,0.000000
2026-02-28T18:51:55,92.440,2550.000,2363045,2498.026430,0.482718008,5.000,0.000000
2026-02-28T18:51:57,94.446,2550.000,2367791,2366.345207,0.482718008,11.000,0.000000
2026-02-28T18:51:59,96.452,2550.000,2372320,2257.076779,0.482718008,6.000,0.000000
2026-02-28T18:52:01,98.460,2550.000,2376735,2199.364671,0.482718008,11.000,0.000000
2026-02-28T18:52:03,100.466,2550.000,2381161,2205.805881,0.481097239,7.000,0.000000
2026-02-28T18:52:05,102.475,2550.000,2385932,2374.481596,0.481097239,13.000,0.000000
2026-02-28T18:52:07,104.484,2550.000,2390925,2485.695653,0.481097239,6.000,0.000000
2026-02-28T18:52:09,106.490,2550.000,2395853,2457.314644,0.481097239,4.000,0.000000
2026-02-28T18:52:11,108.496,2550.000,2400851,2490.809844,0.481097239,5.000,0.000000
2026-02-28T18:52:13,110.504,2550.000,2405806,2468.111968,0.481097239,11.000,0.000000
2026-02-28T18:52:16,112.516,2550.000,2410521,2343.642555,0.481097239,12.000,0.000000
2026-02-28T18:52:18,114.525,2550.000,2414056,1758.989607,0.481097239,11.000,0.000000
2026-02-28T18:52:20,116.531,2550.000,2417433,1683.750194,0.481097239,8.000,0.000000
2026-02-28T18:52:22,118.538,2550.000,2422379,2464.677761,0.481097239,4.000,0.000000
2026-02-28T18:52:24,120.547,2550.000,2427426,2512.503651,0.481097239,7.000,0.000000
2026-02-28T18:52:26,122.554,2550.000,2432469,2511.886472,0.481097239,4.000,0.000000
2026-02-28T18:52:28,124.569,2550.000,2437377,2435.508836,0.481097239,15.000,0.000000
2026-02-28T18:52:30,126.577,2550.000,2442369,2486.828927,0.481097239,5.000,0.000000
2026-02-28T18:52:32,128.585,2550.000,2447197,2403.841154,0.481097239,8.000,0.000000
2026-02-28T18:52:34,130.596,2550.000,2452236,2505.692805,0.481097239,10.000,0.000000
2026-02-28T18:52:36,132.604,2550.000,2457220,2482.849817,0.481097239,6.000,0.000000
2026-02-28T18:52:38,134.613,2550.000,2462246,2501.733472,0.481097239,15.000,0.000000
2026-02-28T18:52:40,136.621,2550.000,2467279,2506.246288,0.481097239,9.000,0.000000
2026-02-28T18:52:42,138.630,2550.000,2472222,2460.191798,0.481097239,11.000,0.000000
2026-02-28T18:52:44,140.639,2550.000,2477262,2508.389224,0.481097239,11.000,0.000000
2026-02-28T18:52:46,142.645,2550.000,2482266,2494.614241,0.481097239,7.000,0.000000
2026-02-28T18:52:48,144.651,2550.000,2487294,2506.236846,0.482718008,5.000,0.000000
2026-02-28T18:52:50,146.659,2550.000,2492287,2487.587680,0.482718008,6.000,0.000000
2026-02-28T18:52:52,148.666,2550.000,2497229,2462.012895,0.482718008,5.000,0.000000
2026-02-28T18:52:54,150.672,2550.000,2502223,2488.984969,0.482718008,12.000,0.000000
2026-02-28T18:52:56,152.681,2550.000,2507237,2496.424889,0.482718008,7.000,0.000000
2026-02-28T18:52:58,154.688,2550.000,2512196,2470.344955,0.482718008,6.000,0.000000
2026-02-28T18:53:00,156.700,2550.000,2517193,2483.850843,0.482718008,16.000,0.000000
2026-02-28T18:53:02,158.707,2550.000,2521795,2293.057978,0.482718008,13.000,0.000000
2026-02-28T18:53:04,160.719,2550.000,2526519,2347.452057,0.482718008,5.000,0.000000
2026-02-28T18:53:06,162.727,2550.000,2531474,2468.325076,0.482718008,8.000,0.000000
2026-02-28T18:53:08,164.735,2550.000,2536413,2459.723104,0.482718008,10.000,0.000000
2026-02-28T18:53:10,166.741,2550.000,2541420,2495.336308,0.482718008,5.000,0.000000
2026-02-28T18:53:12,168.749,2550.000,2546440,2499.738346,0.481097239,4.000,0.000000
2026-02-28T18:53:14,170.756,2550.000,2551411,2477.185434,0.481097239,13.000,0.000000
2026-02-28T18:53:16,172.763,2550.000,2556415,2493.072487,0.481097239,7.000,0.000000
2026-02-28T18:53:18,174.772,2550.000,2561438,2500.873252,0.481097239,7.000,0.000000
2026-02-28T18:53:20,176.785,2550.000,2566396,2463.374504,0.481097239,7.000,0.000000
2026-02-28T18:53:22,178.790,2550.000,2571430,2510.589005,0.481097239,5.000,0.000000
2026-02-28T18:53:24,180.797,2550.000,2576415,2483.385145,0.481097239,5.000,0.000000
2026-02-28T18:53:26,182.805,2550.000,2581466,2516.028983,0.481097239,7.000,0.000000
2026-02-28T18:53:28,184.811,2550.000,2586431,2474.330699,0.481097239,6.000,0.000000
2026-02-28T18:53:30,186.819,2550.000,2591443,2496.206047,0.481097239,8.000,0.000000
2026-02-28T18:53:32,188.827,2550.000,2596457,2497.224972,0.481097239,5.000,0.000000
2026-02-28T18:53:34,190.833,2550.000,2601443,2485.181489,0.481097239,10.000,0.000000
2026-02-28T18:53:36,192.841,2550.000,2606365,2450.807158,0.481097239,6.000,0.000000
2026-02-28T18:53:38,194.852,2550.000,2611394,2500.761417,0.481097239,16.000,0.000000
2026-02-28T18:53:40,196.860,2550.000,2616422,2504.530468,0.481097239,8.000,0.000000
2026-02-28T18:53:42,198.867,2550.000,2621447,2503.288816,0.482718008,5.000,0.000000
2026-02-28T18:53:44,200.873,2550.000,2626437,2487.772992,0.482718008,11.000,0.000000
2026-02-28T18:53:46,202.880,2550.000,2631438,2492.064492,0.482718008,7.000,0.000000
2026-02-28T18:53:48,204.893,2550.000,2636447,2488.557831,0.482718008,12.000,0.000000
2026-02-28T18:53:50,206.899,2550.000,2641421,2479.692709,0.482718008,10.000,0.000000
2026-02-28T18:53:52,208.903,2550.000,2646459,2513.153178,0.482718008,4.000,0.000000
2026-02-28T18:53:54,210.911,2550.000,2651475,2498.671469,0.481097239,9.000,0.000000
2026-02-28T18:53:56,212.916,2550.000,2656485,2498.323099,0.481097239,4.000,0.000000
2026-02-28T18:53:58,214.922,2550.000,2661370,2435.401325,0.481097239,9.000,0.000000
2026-02-28T18:54:00,216.929,2550.000,2666235,2424.005039,0.481097239,10.000,0.000000
2026-02-28T18:54:02,218.935,2550.000,2670944,2347.203435,0.481097239,7.000,0.000000
2026-02-28T18:54:04,220.944,2550.000,2675606,2321.176116,0.478308778,8.000,0.000000
2026-02-28T18:54:06,222.951,2550.000,2680505,2440.143305,0.478308778,3.000,0.000000
2026-02-28T18:54:08,224.959,2550.000,2685537,2506.442267,0.478308778,5.000,0.000000
2026-02-28T18:54:10,226.966,2550.000,2690567,2506.506940,0.478308778,6.000,0.000000
2026-02-28T18:54:12,228.972,2550.000,2695575,2496.116438,0.478308778,5.000,0.000000
2026-02-28T18:54:14,230.977,2550.000,2700558,2485.207442,0.478308778,6.000,0.000000
2026-02-28T18:54:16,232.985,2550.000,2705557,2489.732338,0.478308778,7.000,0.000000
2026-02-28T18:54:18,234.990,2550.000,2710531,2481.172861,0.478308778,6.000,0.000000
2026-02-28T18:54:20,236.998,2550.000,2715494,2471.502454,0.478308778,6.000,0.000000
2026-02-28T18:54:22,239.005,2550.000,2720484,2486.347616,0.478308778,6.000,0.000000
2026-02-28T18:54:24,241.012,2550.000,2725278,2388.549850,0.478308778,11.000,0.000000
2026-02-28T18:54:26,243.019,2550.000,2730061,2384.505899,0.478308778,10.000,0.000000
2026-02-28T18:54:28,245.025,2550.000,2734948,2435.439361,0.478308778,5.000,0.000000
2026-02-28T18:54:30,247.033,2550.000,2739881,2456.560262,0.478308778,11.000,0.000000
2026-02-28T18:54:32,249.039,2550.000,2744858,2481.018149,0.478308778,14.000,0.000000
2026-02-28T18:54:34,251.044,2550.000,2749241,2186.902311,0.478308778,10.000,0.000000
2026-02-28T18:54:36,253.052,2550.000,2754216,2477.108886,0.478308778,6.000,0.000000
2026-02-28T18:54:38,255.059,2550.000,2759241,2504.170386,0.478308778,8.000,0.000000
2026-02-28T18:54:40,257.065,2550.000,2764162,2452.241678,0.478308778,8.000,0.000000
2026-02-28T18:54:42,259.116,2550.000,2768764,2244.436174,0.478308778,13.000,0.000000
2026-02-28T18:54:44,261.130,2550.000,2773211,2207.703746,0.481097239,16.000,0.000000
2026-02-28T18:54:46,263.149,2550.000,2777931,2337.991639,0.481097239,16.000,0.000000
2026-02-28T18:54:48,265.154,2550.000,2782656,2356.125609,0.481097239,8.000,0.000000
2026-02-28T18:54:50,267.165,2550.000,2787536,2426.553966,0.481097239,11.000,0.000000
2026-02-28T18:54:52,269.173,2550.000,2792389,2417.230013,0.481097239,14.000,0.000000
2026-02-28T18:54:54,271.179,2550.000,2797245,2421.344096,0.481097239,6.000,0.000000
2026-02-28T18:54:56,273.187,2550.000,2802192,2463.136374,0.481097239,6.000,0.000000
2026-02-28T18:54:58,275.194,2550.000,2807162,2476.273451,0.481097239,6.000,0.000000
2026-02-28T18:55:00,277.202,2550.000,2812116,2467.197512,0.481097239,6.000,0.000000
2026-02-28T18:55:02,279.210,2550.000,2816842,2353.326755,0.481097239,6.000,0.000000
2026-02-28T18:55:04,281.218,2550.000,2821679,2409.639157,0.481097239,5.000,0.000000
2026-02-28T18:55:06,283.226,2550.000,2826597,2448.968365,0.481097239,11.000,0.000000
2026-02-28T18:55:08,285.233,2550.000,2831631,2508.244505,0.481097239,9.000,0.000000
2026-02-28T18:55:10,287.240,2550.000,2836661,2505.703760,0.481097239,9.000,0.000000
2026-02-28T18:55:12,289.248,2550.000,2841565,2442.678137,0.481097239,5.000,0.000000
2026-02-28T18:55:14,291.254,2550.000,2846490,2455.213917,0.478308778,7.000,0.000000
2026-02-28T18:55:16,293.262,2550.000,2851501,2495.118703,0.478308778,7.000,0.000000
2026-02-28T18:55:18,295.271,2550.000,2856531,2503.804436,0.478308778,11.000,0.000000
2026-02-28T18:55:20,297.276,2550.000,2861435,2446.015744,0.478308778,5.000,0.000000
2026-02-28T18:55:22,299.282,2550.000,2866425,2487.775653,0.478308778,7.000,0.000000
2026-02-28T18:55:24,301.288,2550.000,2871448,2504.043339,0.478308778,15.000,0.000000
2026-02-28T18:55:26,303.297,2550.000,2876492,2510.105393,0.478308778,6.000,0.000000
2026-02-28T18:55:28,305.306,2550.000,2881489,2487.875690,0.478308778,15.000,0.000000
2026-02-28T18:55:30,307.314,2550.000,2886498,2494.444738,0.478308778,13.000,0.000000
2026-02-28T18:55:32,309.322,2550.000,2891464,2473.382283,0.478308778,4.000,0.000000
2026-02-28T18:55:34,311.327,2550.000,2896448,2485.742535,0.478308778,15.000,0.000000
2026-02-28T18:55:36,313.334,2550.000,2901391,2462.201080,0.478308778,3.000,0.000000
2026-02-28T18:55:38,315.345,2550.000,2906417,2499.876303,0.478308778,9.000,0.000000
2026-02-28T18:55:40,317.354,2550.000,2911418,2488.383507,0.478308778,4.000,0.000000
2026-02-28T18:55:42,319.361,2550.000,2916387,2476.136708,0.478308778,6.000,0.000000
2026-02-28T18:55:44,321.367,2550.000,2921361,2480.179410,0.478308778,5.000,0.000000
2026-02-28T18:55:46,323.372,2550.000,2926288,2457.603118,0.478308778,6.000,0.000000
2026-02-28T18:55:48,325.377,2550.000,2931271,2484.405682,0.478308778,12.000,0.000000
2026-02-28T18:55:50,327.384,2550.000,2936187,2450.206525,0.478308778,7.000,0.000000
2026-02-28T18:55:52,329.391,2550.000,2941092,2443.030593,0.478308778,8.000,0.000000
2026-02-28T18:55:54,331.402,2550.000,2946086,2484.332245,0.481097239,6.000,0.000000
2026-02-28T18:55:56,333.408,2550.000,2951117,2507.138993,0.481097239,5.000,0.000000
2026-02-28T18:55:58,335.415,2550.000,2956069,2468.243604,0.481097239,11.000,0.000000
2026-02-28T18:56:00,337.426,2550.000,2960920,2412.163325,0.481097239,7.000,0.000000
2026-02-28T18:56:02,339.432,2550.000,2965628,2346.159339,0.478308778,8.000,0.000000
2026-02-28T18:56:04,341.443,2550.000,2970566,2455.296062,0.478308778,8.000,0.000000
2026-02-28T18:56:06,343.459,2550.000,2975549,2472.784489,0.481097239,15.000,0.000000
2026-02-28T18:56:08,345.464,2550.000,2980507,2472.433553,0.481097239,4.000,0.000000
2026-02-28T18:56:10,347.469,2550.000,2985545,2512.632012,0.481097239,8.000,0.000000
2026-02-28T18:56:12,349.477,2550.000,2990553,2493.919800,0.481097239,9.000,0.000000
2026-02-28T18:56:14,351.485,2550.000,2995547,2486.967763,0.481097239,8.000,0.000000
2026-02-28T18:56:16,353.493,2550.000,3000536,2485.265957,0.481097239,7.000,0.000000
2026-02-28T18:56:18,355.499,2550.000,3005509,2478.306346,0.481097239,7.000,0.000000
2026-02-28T18:56:20,357.513,2550.000,3010441,2448.631969,0.481097239,13.000,0.000000
2026-02-28T18:56:23,359.520,2550.000,3015499,2520.387497,0.481097239,6.000,0.000000
2026-02-28T18:56:25,361.526,2550.000,3020488,2487.569531,0.481097239,3.000,0.000000
2026-02-28T18:56:27,363.534,2550.000,3025511,2501.057619,0.481097239,6.000,0.000000
2026-02-28T18:56:29,365.545,2550.000,3030403,2432.436409,0.481097239,15.000,0.000000
2026-02-28T18:56:31,367.554,2550.000,3035380,2477.181624,0.481097239,5.000,0.000000
2026-02-28T18:56:33,369.565,2550.000,3040328,2460.496700,0.481097239,16.000,0.000000
2026-02-28T18:56:35,371.575,2550.000,3045301,2475.028890,0.481097239,13.000,0.000000
2026-02-28T18:56:37,373.581,2550.000,3050239,2460.974835,0.481097239,7.000,0.000000
2026-02-28T18:56:39,375.589,2550.000,3055251,2496.542516,0.481097239,16.000,0.000000
2026-02-28T18:56:41,377.595,2550.000,3060241,2487.430611,0.481097239,5.000,0.000000
2026-02-28T18:56:43,379.604,2550.000,3065265,2500.918110,0.481097239,15.000,0.000000
2026-02-28T18:56:45,381.681,2550.000,3068436,1526.734273,0.481097239,16.000,0.000000
2026-02-28T18:56:47,383.686,2550.000,3073367,2458.917859,0.481097239,6.000,0.000000
2026-02-28T18:56:49,385.693,2550.000,3078407,2511.410389,0.481097239,5.000,0.000000
2026-02-28T18:56:51,387.700,2550.000,3083381,2478.829439,0.481097239,13.000,0.000000
2026-02-28T18:56:53,389.706,2550.000,3088112,2358.171588,0.481097239,12.000,0.000000
2026-02-28T18:56:55,391.715,2550.000,3092897,2381.342454,0.482718008,16.000,0.000000
2026-02-28T18:56:57,393.727,2550.000,3097562,2318.968412,0.482718008,7.000,0.000000
2026-02-28T18:56:59,395.737,2550.000,3102041,2228.154712,0.482718008,8.000,0.000000
2026-02-28T18:57:01,397.761,2550.000,3106598,2251.106015,0.482718008,16.000,0.000000
2026-02-28T18:57:03,399.815,2550.000,3111288,2283.800595,0.482718008,14.000,0.000000
2026-02-28T18:57:05,401.820,2550.000,3115856,2277.960638,0.482718008,7.000,0.000000
2026-02-28T18:57:07,403.827,2550.000,3120804,2465.941881,0.482718008,6.000,0.000000
2026-02-28T18:57:09,405.832,2550.000,3125795,2488.698111,0.482718008,7.000,0.000000
2026-02-28T18:57:11,407.838,2550.000,3130793,2492.372872,0.482718008,6.000,0.000000
2026-02-28T18:57:13,409.846,2550.000,3135822,2504.480416,0.481097239,11.000,0.000000
2026-02-28T18:57:15,411.851,2550.000,3140809,2486.695285,0.481097239,13.000,0.000000
2026-02-28T18:57:17,413.857,2550.000,3145844,2510.616955,0.481097239,5.000,0.000000
2026-02-28T18:57:19,415.864,2550.000,3150827,2482.737649,0.481097239,5.000,0.000000
2026-02-28T18:57:21,417.870,2550.000,3155851,2503.608684,0.481097239,11.000,0.000000
2026-02-28T18:57:23,419.877,2550.000,3160914,2522.671590,0.481097239,9.000,0.000000
2026-02-28T18:57:25,421.883,2550.000,3165953,2513.028253,0.481097239,6.000,0.000000
2026-02-28T18:57:27,423.890,2550.000,3170930,2479.787672,0.482718008,6.000,0.000000
2026-02-28T18:57:29,425.896,2550.000,3175946,2500.354026,0.482718008,6.000,0.000000
2026-02-28T18:57:31,427.902,2550.000,3180938,2488.064456,0.482718008,5.000,0.000000
2026-02-28T18:57:33,429.914,2550.000,3185970,2501.039572,0.482718008,10.000,0.000000
2026-02-28T18:57:35,431.924,2550.000,3190912,2458.585454,0.482718008,10.000,0.000000
2026-02-28T18:57:37,433.930,2550.000,3195937,2504.611404,0.482718008,6.000,0.000000
2026-02-28T18:57:39,435.937,2550.000,3201006,2525.932686,0.482718008,7.000,0.000000
2026-02-28T18:57:41,437.944,2550.000,3206027,2502.344107,0.482718008,11.000,0.000000
2026-02-28T18:57:43,439.950,2550.000,3211041,2499.595025,0.482718008,5.000,0.000000
2026-02-28T18:57:45,441.957,2550.000,3216082,2511.050716,0.482718008,3.000,0.000000
2026-02-28T18:57:47,443.964,2550.000,3221087,2493.521832,0.482718008,5.000,0.000000
2026-02-28T18:57:49,445.971,2550.000,3226130,2513.145326,0.482718008,7.000,0.000000
2026-02-28T18:57:51,447.977,2550.000,3231151,2502.849379,0.482718008,7.000,0.000000
2026-02-28T18:57:53,449.986,2550.000,3236191,2508.855126,0.482992150,10.000,0.000000
2026-02-28T18:57:55,451.991,2550.000,3241215,2505.714959,0.482992150,8.000,0.000000
2026-02-28T18:57:57,453.999,2550.000,3246250,2507.710236,0.482992150,5.000,0.000000
2026-02-28T18:57:59,456.004,2550.000,3251254,2495.093186,0.482992150,8.000,0.000000
2026-02-28T18:58:01,458.012,2550.000,3256047,2388.065513,0.482992150,9.000,0.000000
2026-02-28T18:58:03,460.020,2550.000,3260770,2351.471092,0.481097239,16.000,0.000000
2026-02-28T18:58:05,462.028,2550.000,3265761,2485.550814,0.481097239,8.000,0.000000
2026-02-28T18:58:07,464.037,2550.000,3270753,2485.549773,0.481097239,5.000,0.000000
2026-02-28T18:58:09,466.045,2550.000,3275769,2497.241622,0.481097239,7.000,0.000000
2026-02-28T18:58:11,468.053,2550.000,3280692,2452.087275,0.481097239,4.000,0.000000
2026-02-28T18:58:13,470.059,2550.000,3285731,2511.436025,0.481097239,5.000,0.000000
2026-02-28T18:58:15,472.071,2550.000,3290719,2479.678148,0.481097239,16.000,0.000000
2026-02-28T18:58:17,474.078,2550.000,3295755,2509.015993,0.481097239,11.000,0.000000
2026-02-28T18:58:19,476.083,2550.000,3300777,2504.219574,0.481097239,4.000,0.000000
2026-02-28T18:58:21,478.090,2550.000,3305750,2477.959517,0.481097239,6.000,0.000000
2026-02-28T18:58:23,480.101,2550.000,3310695,2459.453352,0.481097239,16.000,0.000000
2026-02-28T18:58:25,482.109,2550.000,3315747,2516.008977,0.481097239,16.000,0.000000
2026-02-28T18:58:27,484.117,2550.000,3320764,2497.702715,0.481097239,13.000,0.000000
2026-02-28T18:58:29,486.123,2550.000,3325766,2494.226709,0.481097239,5.000,0.000000
2026-02-28T18:58:31,488.129,2550.000,3330762,2490.957053,0.482992150,7.000,0.000000
2026-02-28T18:58:33,490.139,2550.000,3335805,2508.435729,0.482992150,6.000,0.000000
2026-02-28T18:58:35,492.147,2550.000,3340626,2400.544814,0.482992150,7.000,0.000000
2026-02-28T18:58:37,494.156,2550.000,3345658,2505.017602,0.482992150,8.000,0.000000
2026-02-28T18:58:39,496.164,2550.000,3350682,2502.220927,0.482992150,6.000,0.000000
2026-02-28T18:58:41,498.171,2550.000,3355722,2510.982312,0.482992150,12.000,0.000000
2026-02-28T18:58:43,500.178,2550.000,3360676,2468.004851,0.482992150,6.000,0.000000
2026-02-28T18:58:45,502.186,2550.000,3365704,2505.063294,0.482992150,10.000,0.000000
2026-02-28T18:58:47,504.191,2550.000,3370708,2495.323678,0.482992150,5.000,0.000000
2026-02-28T18:58:49,506.198,2550.000,3375749,2511.156588,0.482992150,9.000,0.000000
2026-02-28T18:58:51,508.206,2550.000,3380747,2489.602343,0.482992150,5.000,0.000000
2026-02-28T18:58:53,510.213,2550.000,3385756,2495.561195,0.482992150,4.000,0.000000
2026-02-28T18:58:55,512.221,2550.000,3390767,2495.844922,0.482992150,9.000,0.000000
2026-02-28T18:58:57,514.228,2550.000,3395778,2496.684853,0.482992150,5.000,0.000000
2026-02-28T18:58:59,516.235,2550.000,3400788,2495.993592,0.482992150,4.000,0.000000
2026-02-28T18:59:01,518.246,2550.000,3403214,1206.607515,0.482992150,8.000,0.000000
2026-02-28T18:59:03,520.254,2550.000,3407961,2364.212093,0.482992150,7.000,0.000000
2026-02-28T18:59:05,522.271,2550.000,3410636,1325.725008,0.482992150,16.000,0.000000
2026-02-28T18:59:07,524.280,2550.000,3415335,2339.060871,0.482992150,9.000,0.000000
2026-02-28T18:59:09,526.289,2550.000,3420364,2503.808545,0.482992150,11.000,0.000000
2026-02-28T18:59:11,528.294,2550.000,3425397,2509.732769,0.482992150,4.000,0.000000
2026-02-28T18:59:13,530.300,2550.000,3430445,2516.349508,0.481097239,6.000,0.000000
2026-02-28T18:59:15,532.307,2550.000,3435453,2495.467595,0.481097239,7.000,0.000000
2026-02-28T18:59:17,534.316,2550.000,3440468,2495.821248,0.481097239,7.000,0.000000
2026-02-28T18:59:19,536.324,2550.000,3445534,2524.027834,0.481097239,5.000,0.000000
2026-02-28T18:59:21,538.332,2550.000,3450477,2460.978232,0.481097239,15.000,0.000000
2026-02-28T18:59:23,540.344,2550.000,3455528,2510.709795,0.481097239,13.000,0.000000
