t_iso,t_sec,u_cmd,sent_total,u_ach,lat_p99,inflight,err_per_sec
2026-02-28T13:34:31,0.042,1200.000,68513,1167.000000,0.488327379,4.000,0.000000
2026-02-28T13:34:33,2.049,1200.000,70926,1202.283427,0.488327379,2.000,0.000000
2026-02-28T13:34:35,4.054,1200.000,73330,1199.096105,0.488327379,3.000,0.000000
2026-02-28T13:34:37,6.059,1200.000,75727,1195.557500,0.475950717,2.000,0.000000
2026-02-28T13:34:39,8.063,1200.000,78128,1198.203182,0.475950717,4.000,0.000000
2026-02-28T13:34:41,10.069,1200.000,80465,1164.751903,0.475950717,6.000,0.000000
2026-02-28T13:34:43,12.074,1200.000,82847,1187.925185,0.475950717,4.000,0.000000
2026-02-28T13:34:45,14.081,1200.000,85245,1195.113030,0.475950717,5.000,0.000000
2026-02-28T13:34:47,16.088,1200.000,87582,1164.627630,0.475950717,4.000,0.000000
2026-02-28T13:34:49,18.092,1200.000,89956,1184.184871,0.475950717,4.000,0.000000
2026-02-28T13:34:51,20.100,1200.000,92313,1174.022161,0.475950717,6.000,0.000000
2026-02-28T13:34:53,22.109,1200.000,94724,1200.205913,0.475950717,3.000,0.000000
2026-02-28T13:34:55,24.114,1200.000,97131,1200.624607,0.475950717,2.000,0.000000
2026-02-28T13:34:57,26.118,1200.000,99520,1191.656455,0.475950717,2.000,0.000000
2026-02-28T13:34:59,28.127,1200.000,101928,1198.742805,0.475950717,3.000,0.000000
2026-02-28T13:35:01,30.140,1200.000,104292,1174.241859,0.475950717,7.000,0.000000
2026-02-28T13:35:03,32.145,1200.000,106699,1201.002674,0.475950717,3.000,0.000000
2026-02-28T13:35:05,34.149,1200.000,109018,1157.057500,0.475950717,4.000,0.000000
2026-02-28T13:35:07,36.157,1200.000,111424,1198.005672,0.475950717,4.000,0.000000
2026-02-28T13:35:09,38.163,1200.000,113829,1198.958840,0.475950717,3.000,0.000000
2026-02-28T13:35:11,40.182,1200.000,116246,1197.258461,0.475950717,16.000,0.000000
2026-02-28T13:35:13,42.187,1200.000,118608,1177.869773,0.475950717,4.000,0.000000
2026-02-28T13:35:15,44.192,1200.000,120789,1088.129456,0.475950717,3.000,0.000000
2026-02-28T13:35:17,46.197,1200.000,122926,1065.545194,0.475950717,2.000,0.000000
