idx,u_cmd,dur_s,n,u_ach_med,sat_med,lat_med_s,lat_p95_s,err_med,inflight_max
1,50,58.478,30,49.919114,0.998382,0.461989724,0.461989724,0.000000,1.000
2,150,58.232,30,150.012513,1.000083,0.461989724,0.461989724,0.000000,2.000
3,300,58.173,30,299.978937,0.999930,0.452399155,0.461989724,0.000000,2.000
4,450,58.140,30,449.992953,0.999984,0.450877969,0.452399155,0.000000,3.000
5,600,58.139,30,599.939006,0.999898,0.454778795,0.457158436,0.000000,3.000
6,800,58.130,30,799.932149,0.999915,0.454778795,0.457158436,0.000000,4.000
7,1000,58.141,30,999.811262,0.999811,0.461989724,0.471257209,0.000000,4.000
8,1550,58.150,30,1549.716618,0.999817,0.471257209,0.473139860,0.000000,14.000
9,1900,58.158,30,1898.233497,0.999070,0.472198535,0.475212873,0.000000,10.000
10,2300,58.170,30,2293.603946,0.997219,0.473139860,0.477930317,0.000000,10.000
11,2550,58.245,30,2529.564083,0.991986,0.477930317,0.477930317,0.000000,16.000
12,2800,58.171,30,2767.890355,0.988532,0.473139860,0.481982846,0.000000,15.000
13,3200,58.197,30,3120.922288,0.975288,0.477930317,0.477930317,0.000000,14.000
14,3550,58.186,30,3387.405697,0.954199,0.473837183,0.481982846,0.000000,15.000
15,3200,58.187,30,3112.517554,0.972662,0.481982846,0.481982846,0.000000,16.000
16,2800,58.237,30,2756.916785,0.984613,0.481982846,0.481982846,0.000000,16.000
17,2550,58.184,30,2533.393179,0.993488,0.474992808,0.474992808,0.000000,16.000
18,2300,58.174,30,2290.154651,0.995719,0.473837183,0.474992808,0.000000,14.000
19,1900,58.166,30,1898.151158,0.999027,0.467423297,0.474992808,0.000000,7.000
20,1550,58.179,30,1549.064399,0.999396,0.473837183,0.476307942,0.000000,12.000
21,1000,58.188,30,999.401925,0.999402,0.474992808,0.476307942,0.000000,7.000
22,800,58.140,30,800.061760,1.000077,0.476307942,0.484189737,0.000000,4.000
23,600,58.141,30,599.968718,0.999948,0.480639546,0.480639546,0.000000,3.000
24,450,58.144,30,450.000260,1.000001,0.476307942,0.478835570,0.000000,2.000
25,300,58.166,30,299.983720,0.999946,0.474992808,0.474992808,0.000000,2.000
26,150,58.253,30,150.025166,1.000168,0.469848995,0.476630711,0.000000,2.000
27,50,58.573,30,49.997623,0.999952,0.480639546,0.480639546,0.000000,2.000
