idx,u_cmd,dur_s,n,u_ach_med,sat_med,lat_med_s,lat_p95_s,err_med,inflight_max
1,50,58.578,30,50.008321,1.000166,0.477168804,0.481285189,0.000000,1.000
2,150,58.251,30,149.966437,0.999776,0.481285189,0.481285189,0.000000,1.000
3,300,58.169,30,299.950837,0.999836,0.479348618,0.481285189,0.000000,3.000
4,450,58.136,30,449.969591,0.999932,0.475020494,0.475020494,0.000000,2.000
5,600,58.185,30,599.656220,0.999427,0.478152842,0.481508165,0.000000,6.000
6,800,58.152,30,800.059205,1.000074,0.481285189,0.481285189,0.000000,3.000
7,1000,58.168,30,999.322676,0.999323,0.463247277,0.480207987,0.000000,8.000
8,1200,58.596,30,1194.309602,0.995258,0.459707610,0.465321303,0.000000,16.000
9,1300,58.157,29,858.174593,0.660134,0.475020494,0.480207987,0.000000,16.000
10,1450,59.531,30,906.545866,0.625204,0.481361090,0.494010589,0.000000,16.000
11,1650,59.130,30,938.623402,0.568863,0.502779354,0.508630378,0.000000,16.000
12,1850,59.088,30,1179.035764,0.637317,0.516223649,0.542318952,0.000000,16.000
13,1650,59.520,30,941.187447,0.570417,0.555463373,0.558105886,0.000000,16.000
14,1450,59.209,30,1059.203611,0.730485,0.558105886,0.558105886,0.000000,16.000
15,1300,58.327,30,1270.864773,0.977588,0.558105886,0.582213992,0.000000,16.000
16,1200,58.141,30,1199.978201,0.999982,0.558105886,0.558105886,0.000000,6.000
17,1000,58.172,30,999.425140,0.999425,0.558105886,0.582213992,0.000000,4.000
18,800,58.269,30,799.661812,0.999577,0.558105886,0.558105886,0.000000,16.000
19,600,58.122,30,599.923065,0.999872,0.533559786,0.555463373,0.000000,6.000
20,450,58.146,30,449.976768,0.999948,0.524800619,0.524800619,0.000000,3.000
21,300,58.174,30,299.978421,0.999928,0.501429515,0.516223649,0.000000,3.000
22,150,58.275,30,149.974604,0.999831,0.501268432,0.501268432,0.000000,1.000
23,50,58.725,30,49.984375,0.999687,0.479003029,0.500352811,0.000000,3.000
